Timestamp,CPU_Usage(%),Memory_Usage(%),Net_Sent(Bytes),Net_Recv(Bytes),Disk_Read(Bytes),Disk_Write(Bytes),Battery_Percent
13:47:14,23.4,62.2,19731456,56019968,28684288,1404928,45
13:47:19,23.5,62.6,20177920,57544704,6914048,1085440,45
13:47:24,29.4,60.8,38551552,109356032,4882432,9183232,45
13:47:29,32.6,61.1,41638912,118328320,2498560,1908736,45
13:47:34,33.8,62.0,38793216,109868032,4243456,3162112,45
13:47:39,27.3,62.3,30012416,85301248,4734976,5365760,45
13:47:44,29.5,63.2,22079488,62978048,21876736,4079616,45
13:47:49,31.3,63.1,36505600,104145920,33845248,2785280,45
13:47:54,35.5,64.2,39192576,111444992,31625216,10629120,45
13:47:59,28.0,63.5,33569792,94971904,3784704,3567616,45
13:48:04,28.6,62.9,37003264,104841216,11665408,1937408,45
13:48:09,25.9,63.3,27954176,79775744,135168,2621440,45
13:48:14,28.0,64.6,25446400,72400896,2068480,3739648,45
13:48:19,30.9,64.4,27252736,77531136,25042944,4943872,45
13:48:24,36.6,63.8,28078080,79677440,10137600,10440704,45
13:48:29,38.5,64.6,43339776,123570176,22822912,4399104,45
13:48:34,35.2,64.5,39020544,110456832,28930048,6541312,45
13:48:39,30.2,66.9,25637888,72910848,1998848,2752512,45
13:48:44,31.9,64.6,26438656,74864640,5283840,2789376,45
13:48:49,26.8,65.4,28093440,79378432,24731648,4718592,45
13:48:54,27.4,64.8,29265920,83358720,4747264,8691712,45
13:48:59,26.1,64.7,29568000,83756032,208896,974848,45
13:49:04,27.4,65.7,29561856,84253696,3723264,3235840,45
13:49:09,26.2,65.1,29496320,83829760,2682880,1441792,45
13:49:14,32.2,65.8,28918784,71467008,2572288,2195456,45
13:49:19,27.8,65.5,27766784,79438848,4501504,1597440,45
13:49:24,31.2,70.0,25181184,71869440,9555968,9404416,45
13:49:29,42.7,69.0,5250048,14656512,31334400,3584000,45
13:49:34,31.0,71.9,425984,507904,6762496,1560576,44
13:49:39,20.7,72.0,76800,63488,7688192,11014144,44
13:49:44,20.8,72.3,83968,79872,2072576,3416064,44
13:49:49,22.9,72.2,124928,99328,102400,2093056,44
13:49:54,24.4,72.0,112640,102400,581632,6266880,44
13:49:59,25.1,71.8,97280,94208,335872,1413120,44
13:50:04,19.7,71.9,25600,19456,970752,1118208,44
13:50:09,18.9,71.9,53248,36864,622592,1449984,44
13:50:14,18.4,71.7,38912,13312,499712,1814528,44
13:50:19,18.0,71.5,19456,10240,483328,1286144,44
13:50:24,18.3,71.6,15360,15360,704512,5419008,44
13:50:29,17.9,71.2,105472,130048,12390400,2195456,44
13:50:34,22.3,71.4,333824,389120,3923968,5373952,44
13:50:39,20.5,71.5,56320,28672,4206592,8929280,44
13:50:44,21.2,71.1,187392,242688,20025344,1953792,44
13:50:49,21.0,71.0,94208,97280,13860864,2846720,44
13:50:54,21.2,71.1,45056,44032,4591616,5427200,44
13:50:59,18.5,71.2,19456,16384,1032192,1159168,44
13:51:04,18.1,71.4,23552,21504,319488,2031616,44
13:51:09,18.0,71.3,37888,22528,1515520,2584576,44
13:51:14,18.2,71.9,34816,22528,2793472,1441792,44
13:51:19,19.2,72.6,15360,12288,479232,1105920,44
13:51:24,20.3,73.7,32768,18432,1355776,5517312,44
13:51:29,33.1,75.1,36864,33792,4640768,3305472,44
13:51:34,46.7,73.5,264192,396288,25120768,2519040,44
13:51:39,37.9,77.7,16384,14336,23560192,1515520,44
13:51:44,47.5,56.9,75776,67584,49745920,209235968,44
13:51:49,9.0,57.3,27648,31744,15917056,2666496,44
13:51:54,18.7,59.4,72704,83968,44224512,7233536,44
13:51:59,9.5,58.7,14336,11264,24231936,1007616,44
13:52:04,6.0,58.6,62464,31744,1474560,1839104,44
13:52:09,8.9,58.7,51200,25600,13889536,1003520,44
13:52:14,11.9,59.3,8192,7168,1769472,1056768,44
13:52:19,14.1,59.1,29696,23552,3903488,1802240,44
13:52:24,21.4,59.8,73728,59392,63938560,9076736,44
13:52:29,18.1,59.5,117760,133120,25739264,2265088,44
13:52:34,14.2,59.0,133120,168960,40325120,2203648,44
13:52:39,13.3,59.5,252928,270336,14766080,3190784,44
13:52:44,9.0,59.3,89088,437248,6733824,1015808,44
13:52:49,8.9,58.5,28672,31744,1515520,2740224,44
13:52:54,8.7,58.1,103424,118784,2510848,6225920,44
13:52:59,12.7,59.5,99328,98304,1544192,3149824,44
13:53:04,10.7,59.1,57344,55296,2211840,2088960,44
13:53:09,10.7,58.8,52224,17408,1941504,1007616,44
13:53:14,7.0,58.9,9216,9216,1064960,1499136,44
13:53:19,5.2,58.3,21504,14336,131072,974848,44
13:53:24,10.5,59.6,16384,13312,1753088,5877760,44
13:53:29,12.6,59.1,67584,93184,2318336,1220608,44
13:53:34,14.5,59.5,96256,124928,10932224,1163264,44
13:53:39,10.3,59.2,36864,11264,708608,2605056,43
13:53:44,11.0,58.8,26624,32768,126976,1024000,43
13:53:49,11.5,58.6,34816,40960,237568,2494464,43
13:53:54,11.0,58.9,49152,66560,540672,5115904,43
13:53:59,12.7,59.0,23552,18432,1499136,1327104,43
13:54:04,10.8,58.9,15360,13312,2727936,1130496,43
13:54:09,11.4,58.5,12288,9216,995328,991232,43
13:54:14,9.4,58.7,31744,9216,495616,1003520,43
13:54:19,15.7,62.1,49152,37888,14995456,1998848,43
13:54:24,14.1,60.9,1112064,3197952,1671168,7737344,43
13:54:29,29.2,61.3,24683520,69583872,5173248,5709824,43
13:54:34,26.8,60.9,25388032,71864320,2695168,811008,43
13:54:39,25.8,61.0,23118848,65666048,565248,2338816,43
13:54:44,27.4,61.2,22759424,64313344,6778880,1032192,43
13:54:49,28.3,60.6,20329472,57605120,2142208,5160960,43
13:54:54,27.1,60.3,23781376,67702784,4571136,6946816,43
13:54:59,26.8,60.9,24382464,69689344,970752,1683456,43
13:55:04,37.8,67.0,25655296,72683520,53981184,4747264,43
13:55:09,29.3,64.0,27113472,76573696,6447104,3559424,43
13:55:14,23.7,63.3,28042240,79585280,1671168,2555904,43
13:55:19,23.5,62.8,29838336,84422656,393216,1130496,43
13:55:24,22.5,63.0,27726848,78338048,983040,8962048,43
13:55:29,26.1,63.2,31030272,87495680,1384448,1130496,43
13:55:34,25.8,63.4,31659008,89142272,7827456,1748992,43
13:55:39,31.0,64.9,30397440,86317056,328974336,62271488,43
13:55:44,24.9,64.7,31429632,88686592,1159168,286720,43
13:55:49,29.8,64.8,34629632,98342912,2625536,3264512,43
13:55:54,25.1,65.0,32294912,91409408,479232,6307840,43
13:55:59,28.3,64.8,35288064,100260864,1105920,1310720,43
13:56:04,28.3,64.8,30614528,87184384,3825664,2236416,43
13:56:09,28.2,65.0,31624192,90161152,3096576,3170304,43
13:56:14,27.4,65.4,35690496,101620736,1552384,1998848,43
13:56:19,28.1,64.2,38337536,109085696,204800,1142784,43
13:56:24,24.5,64.0,35348480,101196800,212992,5947392,43
13:56:29,27.6,64.6,35627008,102667264,2478080,974848,43
13:56:34,29.6,64.8,36107264,103263232,1564672,1687552,43
13:56:39,24.7,64.7,29549568,82462720,827392,2527232,43
13:56:44,24.0,64.8,29998080,85372928,380928,2097152,43
13:56:49,26.1,64.3,28516352,81623040,1998848,2699264,43
13:56:54,27.3,63.7,34106368,97284096,671744,4694016,43
13:56:59,27.5,64.9,33878016,96994304,4534272,1527808,43
13:57:04,38.2,60.4,4160512,11846656,7847936,442368,43
13:57:09,54.3,56.5,33792,22528,4648960,2035712,43
13:57:14,6.5,57.0,14336,12288,3063808,983040,42
13:57:19,5.2,56.1,40960,12288,802816,974848,42
13:57:24,6.9,55.7,14336,14336,2564096,5865472,42
13:57:29,5.6,56.4,113664,103424,1708032,974848,42
13:57:34,11.8,56.6,142336,179200,4128768,1884160,42
13:57:39,6.7,56.8,4200448,12041216,528384,2809856,42
13:57:44,26.3,56.9,31476736,93579264,499712,1437696,42
13:57:49,29.0,56.6,30542848,87447552,1900544,2465792,42
13:57:54,25.3,56.2,30583808,86989824,606208,5582848,42
13:57:59,27.3,56.2,32258048,91576320,634880,1761280,42
13:58:04,25.1,57.0,29606912,84764672,495616,1740800,42
13:58:09,25.2,57.0,30303232,86531072,1126400,2568192,42
13:58:14,24.1,57.0,30349312,87089152,122880,2285568,42
13:58:19,23.9,56.7,30588928,86822912,1327104,1298432,42
13:58:24,24.2,56.3,28567552,81995776,229376,3567616,42
13:58:29,27.3,56.6,31433728,89734144,3145728,1003520,42
13:58:34,27.0,56.9,34492416,98213888,348160,1052672,42
13:58:39,25.5,57.4,32363520,91855872,331776,1134592,42
13:58:44,23.2,57.2,25917440,74274816,1490944,2711552,42
13:58:49,24.7,56.8,24650752,70892544,106496,2564096,42
13:58:54,22.7,56.4,25829376,73763840,15286272,4517888,42
13:58:59,23.6,56.4,25884672,74472448,278528,1712128,42
13:59:04,22.8,57.2,25909248,74689536,499712,1994752,42
13:59:09,26.0,57.4,30711808,88198144,704512,1056768,42
13:59:14,27.3,57.5,29764608,86241280,10072064,4419584,42
13:59:19,25.3,57.1,30641152,87048192,32768,1478656,42
13:59:24,23.4,56.8,28471296,81460224,3481600,5152768,42
13:59:29,26.7,57.5,29017088,82984960,1400832,974848,42
13:59:34,26.5,57.8,29734912,84529152,212992,1253376,42
13:59:39,24.8,57.8,28980224,82715648,0,974848,42
13:59:44,23.5,57.8,27693056,79170560,8192,1085440,42
13:59:49,28.6,57.9,38684672,110392320,147456,3547136,42
13:59:54,32.1,58.2,42797056,122112000,25071616,4227072,42
13:59:59,48.9,58.1,36851712,105974784,34062336,385024,42
14:00:04,37.3,59.3,37277696,106384384,3137536,1081344,42
14:00:09,28.8,59.3,36052992,102603776,1421312,1093632,42
14:00:14,26.7,59.3,32891904,94045184,241664,987136,42
14:00:19,24.7,58.8,29562880,84629504,139264,974848,42
14:00:24,24.7,58.7,30830592,87994368,131072,5685248,42
14:00:29,29.2,59.6,33561600,94724096,786432,1576960,42
14:00:34,28.4,59.7,31171584,88173568,2977792,1593344,42
14:00:39,24.5,59.9,28327936,80796672,1265664,2158592,42
14:00:44,23.9,60.0,28678144,81310720,262144,1261568,42
14:00:49,24.8,60.0,29104128,83028992,32768,974848,42
14:00:54,26.8,59.9,28484608,81363968,196608,6664192,42
14:00:59,25.2,59.4,30065664,85561344,114688,1548288,42
14:01:04,24.8,60.3,30456832,86533120,7483392,1110016,42
14:01:09,24.0,60.4,31495168,89112576,442368,1990656,42
14:01:14,26.3,60.6,31511552,89546752,720896,65536,42
14:01:19,25.7,60.0,30540800,87306240,0,1679360,42
14:01:24,26.6,60.1,32599040,92661760,229376,4341760,42
14:01:30,29.4,60.8,32136192,90108928,1196032,978944,42
14:01:35,29.5,60.8,32166912,90917888,1400832,1372160,42
14:01:40,29.6,60.9,41307136,117451776,0,1896448,42
14:01:45,29.1,61.4,38600704,110517248,737280,1056768,41
14:01:50,26.1,61.5,32713728,92548096,131072,974848,41
14:01:55,27.0,61.2,30962688,88316928,417792,6176768,41
14:02:00,25.9,60.5,30409728,86934528,139264,1003520,41
14:02:05,25.3,61.2,31561728,90397696,1105920,1089536,41
14:02:10,23.9,61.2,29642752,84673536,143360,1785856,41
14:02:15,24.2,60.9,28674048,81682432,327680,1011712,41
14:02:20,24.6,60.4,23597056,67793920,131072,1036288,41
14:02:25,21.3,60.2,21284864,60795904,176128,5300224,41
14:02:30,27.1,61.0,22191104,62898176,23265280,2629632,41
14:02:35,23.5,61.1,23103488,65533952,8060928,2859008,41
14:02:40,25.0,61.2,23234560,66204672,28151808,2449408,41
14:02:45,21.6,61.2,19382272,55595008,2285568,5046272,41
14:02:50,30.0,70.2,7454720,21319680,3407872,3493888,41
14:02:55,28.3,72.9,97280,76800,45846528,61501440,41
14:03:00,19.5,72.3,33792,33792,11673600,2088960,41
14:03:05,19.7,72.6,16384,15360,12681216,1867776,41
14:03:10,17.9,72.9,49152,12288,3665920,1101824,41
14:03:15,19.7,73.2,25600,31744,4767744,1744896,41
14:03:20,18.1,73.2,48128,58368,3735552,974848,41
14:03:25,36.5,74.3,76800,365568,93806592,11075584,41
14:03:30,24.6,73.6,151552,176128,4243456,2510848,41
14:03:35,31.4,73.9,164864,199680,62017536,20832256,41
14:03:40,19.4,73.9,32768,29696,4091904,2285568,41
14:03:45,18.8,73.4,8192,10240,3371008,2883584,41
14:03:50,18.8,73.6,11264,7168,7634944,1470464,41
14:03:55,19.4,73.6,17408,15360,7417856,6508544,41
14:04:00,18.3,73.2,24576,39936,4235264,3178496,41
14:04:05,18.2,73.1,34816,11264,7536640,1089536,41
14:04:10,20.0,73.6,15360,11264,1273856,3903488,41
14:04:15,18.3,73.2,6144,6144,524288,1515520,41
14:04:20,17.3,73.2,11264,7168,389120,1122304,41
14:04:25,17.7,72.9,14336,9216,696320,4370432,41
14:04:30,21.9,73.1,392192,515072,12308480,1159168,41
14:04:35,20.3,72.6,112640,140288,1114112,1474560,41
14:04:40,16.7,72.5,51200,22528,1249280,2793472,41
14:04:45,21.4,72.3,6144,4096,7806976,2342912,41
14:04:50,34.8,68.1,7168,6144,1392640,1511424,41
14:04:55,40.0,72.1,61440,36864,3821568,5816320,41
14:05:00,38.4,82.6,36864,38912,6258688,2596864,40
14:05:05,19.0,58.0,36864,21504,25092096,1495040,40
14:05:10,6.0,59.7,54272,18432,647168,1077248,40
14:05:15,5.0,59.8,8192,11264,364544,1576960,40
14:05:20,5.3,59.8,33792,26624,1777664,1101824,40
14:05:25,5.2,59.4,9216,9216,274432,4919296,40
14:05:30,9.4,59.4,366592,503808,15052800,2338816,40
14:05:35,8.1,59.4,61440,77824,782336,1396736,40
14:05:40,7.8,59.4,20480,16384,1466368,1994752,40
14:05:45,4.7,59.2,6144,4096,1167360,0,40
14:05:50,5.6,59.3,38912,13312,0,1101824,40
14:05:55,5.4,59.3,11264,10240,1589248,5632000,40
14:06:00,6.8,58.9,21504,14336,106496,1032192,40
14:06:05,5.4,58.7,10240,15360,364544,983040,40
14:06:10,5.6,59.5,13312,12288,544768,1519616,40
14:06:15,5.9,59.4,8192,6144,1011712,1961984,40
14:06:20,4.9,59.2,20480,11264,3899392,987136,40
14:06:25,5.3,59.0,10240,9216,704512,4739072,40
14:06:30,10.5,59.2,435200,536576,2682880,1425408,40
14:06:35,8.9,59.9,108544,126976,2629632,1216512,40
14:06:40,5.8,59.9,29696,31744,65536,1986560,40
14:06:45,5.4,59.5,5120,5120,786432,974848,40
14:06:50,5.0,59.4,13312,9216,0,1085440,40
14:06:55,5.1,59.4,22528,20480,294912,4632576,40
14:07:00,10.0,58.9,49152,37888,8241152,2465792,40
14:07:05,5.0,59.1,41984,12288,249856,729088,40
14:07:10,4.5,59.4,49152,20480,69632,389120,40
14:07:15,4.8,59.5,9216,6144,155648,1056768,40
14:07:20,5.1,59.4,13312,8192,233472,974848,40
14:07:25,5.2,59.5,46080,34816,765952,5521408,40
14:07:30,7.6,59.4,294912,306176,2379776,991232,40
14:07:35,6.6,59.5,72704,83968,3227648,2125824,40
14:07:40,7.6,59.2,6114304,17516544,389120,991232,40
14:07:45,19.4,59.2,20997120,60326912,471040,1982464,40
14:07:50,22.2,59.6,27397120,78693376,180224,1630208,40
14:07:55,27.9,59.7,34267136,97930240,655360,6983680,40
14:08:00,28.3,59.3,30866432,88920064,3178496,3239936,40
14:08:05,36.1,61.2,29918208,86909952,121044992,10977280,40
14:08:10,32.4,62.2,22636544,65143808,42119168,3461120,40
14:08:15,25.4,62.3,22125568,63425536,42610688,15314944,40
14:08:20,26.5,62.7,28563456,81861632,7790592,3248128,40
14:08:25,24.7,62.3,28564480,81642496,21037056,19836928,40
14:08:30,29.8,62.3,34001920,96054272,13586432,5885952,40
14:08:35,27.3,62.6,34294784,97854464,8306688,3923968,40
14:08:40,25.7,62.6,30896128,87528448,1142784,2920448,40
14:08:45,24.8,62.7,29003776,82509824,577536,2076672,40
14:08:50,26.7,62.8,30430208,87010304,155648,2342912,40
14:08:55,28.0,63.4,27905024,79338496,5328896,11182080,40
